Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
South Korea,South Korea,Korea Trade Insurance Corporation (K-sure),Long Phu 1 Coal Plant (1200 MW),1200,"$122,000,000 ",,,,,,,12/31/2016,2016,Southeast Asia,Vietnam,,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,https://docs.google.com/viewer?a=v&pid=sites&srcid=Zm9yb3VyY2xpbWF0ZS5vcmd8c2ZvYzJ8Z3g6NzMyYzAzNjdlYzc0YWY2Yw,,,,L104340,,2023,Supercritical,
China,China,China Development Bank,An Khanh - Bac Giang power station,650,"$430,000,000 ",,,"$1,000,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,Bac Giang,An Khanh Group,An Khanh - Bac Giang Thermoelectric Joint Stock Company,,,,,Coal Power Plant,,21.23238,106.3538,Exact,PH395.01,https://www.gem.wiki/An_Khanh_-_Bac_Giang_power_station,https://baodauthau.vn/covid-19-tac-dong-toi-tien-do-nhieu-du-an-dien-post88978.html,http://nhietdienankhanhbacgiang.com.vn/xem-tin/ky-thoa-thuan-dong-tai-tro-von-tin-dung-dau-tu-du-an-nha-may-nhiet-dien-an-khanh---bac-giang/Mzc.html,"http://nhietdienankhanhbacgiang.com.vn/xem-tin/nhiet-dien-an-khanh---bac-giang--gop-suc-danh-thuc-nhung-tiem-nang/NDM.html
https://danviet.vn/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-7777975071.htm
https://danviet.vn/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-7777975071.htm
https://www.bacgiang.gov.vn/chi-tiet-tin-tuc/-/asset_publisher/St1DaeZNsp94/content/-tong-hop-bao-chi-internet-phan-anh-ve-bac-giang-ngay-14-5-2019
https://baodautu.vn/nhiet-dien-an-khanh--bac-giang-de-xuat-dieu-kien-hop-dong-mua-dien-de-vay-duoc-von-d116295.html
https://www.rfa.org/vietnamese/news/vietnamnews/bac-giangs-chairmain-asked-for-approval-of-the-billion-dollar-project-06032020083701.html
https://web.facebook.com/www.nhietdienankhanhbacgiang.com.vn/posts/1578068238880670/?_rdc=1&_rdr",G100188-9,L104301,"Formerly L‡È´c Nam power station
NgÌ¢n hÌÊng phÌÁt tri‡ÈÄn Trung Qu‡ÈÔc (CDB), NgÌ¢n hÌÊng CÌ«ng th®¡®Áng Trung Qu‡ÈÔc (ICBC) Nhi‡Èàt €Ôi‡Èàn An KhÌÁnh - B‡¼øc Giang",2023,CFB,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),An Khanh - Bac Giang power station,650,"$430,000,000 ",,,"$1,000,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,Bac Giang,An Khanh Group,An Khanh - Bac Giang Thermoelectric Joint Stock Company,,,,,Coal Power Plant,,21.23238,106.3538,Exact,PH395.01,https://www.gem.wiki/An_Khanh_-_Bac_Giang_power_station,https://baodauthau.vn/covid-19-tac-dong-toi-tien-do-nhieu-du-an-dien-post88978.html,http://nhietdienankhanhbacgiang.com.vn/xem-tin/ky-thoa-thuan-dong-tai-tro-von-tin-dung-dau-tu-du-an-nha-may-nhiet-dien-an-khanh---bac-giang/Mzc.html,"http://nhietdienankhanhbacgiang.com.vn/xem-tin/nhiet-dien-an-khanh---bac-giang--gop-suc-danh-thuc-nhung-tiem-nang/NDM.html
https://danviet.vn/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-7777975071.htm
https://danviet.vn/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-7777975071.htm
https://www.bacgiang.gov.vn/chi-tiet-tin-tuc/-/asset_publisher/St1DaeZNsp94/content/-tong-hop-bao-chi-internet-phan-anh-ve-bac-giang-ngay-14-5-2019
https://baodautu.vn/nhiet-dien-an-khanh--bac-giang-de-xuat-dieu-kien-hop-dong-mua-dien-de-vay-duoc-von-d116295.html
https://www.rfa.org/vietnamese/news/vietnamnews/bac-giangs-chairmain-asked-for-approval-of-the-billion-dollar-project-06032020083701.html
https://web.facebook.com/www.nhietdienankhanhbacgiang.com.vn/posts/1578068238880670/?_rdc=1&_rdr",G100188-9,L104301,"Formerly L‡È´c Nam power station
NgÌ¢n hÌÊng phÌÁt tri‡ÈÄn Trung Qu‡ÈÔc (CDB), NgÌ¢n hÌÊng CÌ«ng th®¡®Áng Trung Qu‡ÈÔc (ICBC) Nhi‡Èàt €Ôi‡Èàn An KhÌÁnh - B‡¼øc Giang",2023,CFB,
China (EPC),China,EnergyChina,Cong Thanh Coal Plant (600MW),600,,,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,"Nghi Son Economic Zone, T€©nh Gia district, Thanh HÌ_a province
",Cong Thanh Group,#N/A,EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,19.358,105.779,exact,PH367.01,https://www.gem.wiki/Cong_Thanh_power_station,,https://www.imsilkroad.com/news/p/398891.html,,G101695; G101695,L104344,"Gongqing = Cong Thanh
¦_ŒÑŒÉÂ¾üÉŽÝ ŒÝ¢ = Cong Thanh Group
¦_ŒÑ¾üÉŒÎÐÏŽªŒ÷äŒ_À T‡Èänh Thanh HÌ_a, T€©nh Gia District, now called Nghi Son",,,
China,China,Export Import Bank of China (Chexim),Duyen Hai 2 (1200 MW),1200,"$880,000,000 ",,,,,,,6/2/2017,2017,Southeast Asia,Vietnam,Tra Vinh,Teknik Janakuasa,,,,"Shanghai Electric Group Co., Ltd ",,Coal Power Plant,Coal Power Plant - New,9.58517,106.52809,exact,PH048.01,http://bit.ly/1fzuXQK,https://ijglobal.com/data/transaction/19256/duyen-hai-2-thermal-power-plant-1200mw-ppp,https://www.sourcewatch.org/index.php/Duyen_Hai_Power_Generation_Complex,http://english.vietnamnet.vn/fms/business/192888/china-funds-coal-away-from-home.html,,L104347,"Shanghai Electric Group Co., Ltd = Šü_¾µáÓµ¾¡Ó
¾_À¾µáŠ¼Î¾ÏÙ = Duyen Hai 2",2021,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Duyen Hai 2 (1200 MW),1200,"$880,000,000 ",,,"$1,760,000,000 ",,,,6/2/2017,2017,Southeast Asia,Vietnam,Tra Vinh,Teknik Janakuasa,,,,"Shanghai Electric Group Co., Ltd ",,Coal Power Plant,Coal Power Plant - New,9.58517,106.52809,exact,PH048.01,http://bit.ly/1fzuXQK,https://ijglobal.com/data/transaction/19256/duyen-hai-2-thermal-power-plant-1200mw-ppp,https://www.sourcewatch.org/index.php/Duyen_Hai_Power_Generation_Complex,http://english.vietnamnet.vn/fms/business/192888/china-funds-coal-away-from-home.html,,L104347,"Shanghai Electric Group Co., Ltd = Šü_¾µáÓµ¾¡Ó",2021,,
Czech Republic,Czech Republic,EGAP,Long Phu 1 Coal Plant (1200 MW),1200,,,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,,,,,L104340,,2023,Supercritical,
Japan (Commercial bank),Japan (Commercial bank),Mitsubishi UFJ Financial Group,Nghi Son 2 Coal Plant (1200MW),1200,"$3,150,000 ",,,,,,,4/13/2018,2018,Southeast Asia,Vietnam,,,#N/A,,,"Doosan Engineering & Construction (DOOSAN), Mitsubishi Hitachi",,Coal Power Plant,Coal Power Plant - Expansion,19.31581,105.80026,,PH114.01,http://bit.ly/1dEPhFl,https://ijglobal.com/data/transaction/28855/nghi-son-2-coal-fired-power-plant-1200mw-ppp,,,,,,,,
Japan (Commercial bank),Japan (Commercial bank),Mizuho Bank,Nghi Son 2 Coal Plant (1200MW),1200,"$47,270,000 ",,,,,,,4/13/2018,2018,Southeast Asia,Vietnam,,,#N/A,,,"Doosan Engineering & Construction (DOOSAN), Mitsubishi Hitachi",,Coal Power Plant,Coal Power Plant - Expansion,19.31581,105.80026,,PH114.01,http://bit.ly/1dEPhFl,https://ijglobal.com/data/transaction/28855/nghi-son-2-coal-fired-power-plant-1200mw-ppp,,,,,,,,
Japan (Commercial bank),Japan (Commercial bank),Shinsei Bank,Nghi Son 2 Coal Plant (1200MW),1200,"$25,210,000 ",,,,,,,4/13/2018,2018,Southeast Asia,Vietnam,,,#N/A,,,"Doosan Engineering & Construction (DOOSAN), Mitsubishi Hitachi",,Coal Power Plant,Coal Power Plant,19.31581,105.80026,,PH114.01,http://bit.ly/1dEPhFl,https://ijglobal.com/data/transaction/28855/nghi-son-2-coal-fired-power-plant-1200mw-ppp,,,,,,,,
Japan (Commercial bank),Japan (Commercial bank),Sumitomo Mitsui Banking Corporation,Nghi Son 2 Coal Plant (1200MW),1200,"$3,150,000 ",,,,,,,4/13/2018,2018,Southeast Asia,Vietnam,,,#N/A,,,"Doosan Engineering & Construction (DOOSAN), Mitsubishi Hitachi",,Coal Power Plant,Coal Power Plant - Expansion,19.31581,105.80026,,PH114.01,http://bit.ly/1dEPhFl,https://ijglobal.com/data/transaction/28855/nghi-son-2-coal-fired-power-plant-1200mw-ppp,,,,,,,,
Germany,Germany,Euler Hermes,Long Phu 1 Coal Plant (1200 MW),1200,"$93,000,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,http://dipbt.bundestag.de/dip21/btd/19/027/1902766.pdf,,,,L104340,,2023,Supercritical,
Russia,Russia,Russian Development Bank (VEB),Long Phu 1 Coal Plant (1200 MW),1200,"$231,500,000 ",,,"$1,590,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,åÊSoc Trang,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,https://ijglobal.com/data/project/35718/long-phu-1-thermal-power-plant-1200mw,,https://www.sourcewatch.org/index.php/Long_Phu_Power_Centre,,L104340,,2023,Supercritical,
China,China,China Export & Credit Insurance Corporation (Sinosure),Nam Dinh I Coal Plant (1200MW),1200,"$223,750,000 ",,,"$2,070,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province","Acwa Power, Taekwang Power Holdings, CIC, Gezhouba",,"Gezhouba International Engineering Co., Ltd.(EnergyChina)",,Doosan (Turbine generators),,Coal Power Plant,Coal Power Plant - New,20.1012,106.21355,,PH112.01,http://bit.ly/1toEfNF,https://ijglobal.com/data/transaction/21613/nam-dinh-i-coal-fired-power-plant-12gw-ipp,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-23/180808.html,,L104323,,2024,,
China,China,China Development Bank,Nam Dinh I Coal Plant (1200MW),1200,"$223,750,000 ",,,"$2,070,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province","Acwa Power, Taekwang Power Holdings, CIC, Gezhouba",,"Gezhouba International Engineering Co., Ltd.(EnergyChina)",,Doosan (Turbine generators),,Coal Power Plant,Coal Power Plant - New,20.1012,106.21355,,PH112.01,http://bit.ly/1toEfNF,https://ijglobal.com/data/transaction/21613/nam-dinh-i-coal-fired-power-plant-12gw-ipp,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-23/180808.html,,L104323,,2024,,
China,China,Export Import Bank of China (Chexim),Nam Dinh I Coal Plant (1200MW),1200,"$223,750,000 ",,,"$2,070,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province","Acwa Power, Taekwang Power Holdings, CIC, Gezhouba",,"Gezhouba International Engineering Co., Ltd.(EnergyChina)",,Doosan (Turbine generators),,Coal Power Plant,Coal Power Plant - New,20.1012,106.21355,,PH112.01,http://bit.ly/1toEfNF,https://ijglobal.com/data/transaction/21613/nam-dinh-i-coal-fired-power-plant-12gw-ipp,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-23/180808.html,,L104323,,2024,,
China (equity),China,China Investment Corporation,Nam Dinh I Coal Plant (1200MW),1200,"$119,350,000 ",,,"$2,070,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province","Acwa Power, Taekwang Power Holdings, CIC, Gezhouba",,"Gezhouba International Engineering Co., Ltd.(EnergyChina)",,Doosan (Turbine generators),,Coal Power Plant,Coal Power Plant - New,20.1012,106.21355,,PH112.01,http://bit.ly/1toEfNF,https://ijglobal.com/data/transaction/21613/nam-dinh-i-coal-fired-power-plant-12gw-ipp,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-23/180808.html,,L104323,,2024,,
Japan (Commercial bank),Japan (Commercial bank),Mizuho Financial Group,Van Phong 1 Coal-Fired Power Plant (1320MW) IPP,1320,"$114,140,000 ",,,,,,,8/26/2019,2019,Southeast Asia,Vietnam,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - Expansion,12.47704,109.29244,,PH171.02,https://www.gem.wiki/Van_Phong_power_station,https://ijglobal.com/data/transaction/19252/van-phong-1-coal-fired-power-plant-132gw-ipp,https://www.jbic.go.jp/en/information/press/press-2019/0419-012106.html,,,,,2024,,
Japan (Commercial bank),Japan (Commercial bank),MUFG Bank,Van Phong 1 Coal-Fired Power Plant (1320MW) IPP,1320,"$114,140,000 ",,,,,,,8/26/2019,2019,Southeast Asia,Vietnam,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,12.47704,109.29244,,PH171.02,https://www.gem.wiki/Van_Phong_power_station,https://ijglobal.com/data/transaction/19252/van-phong-1-coal-fired-power-plant-132gw-ipp,https://www.jbic.go.jp/en/information/press/press-2019/0419-012106.html,,,,,2024,,
Japan (Commercial bank),Japan (Commercial bank),Sumitomo Mitsui Banking Corporation,Van Phong 1 Coal-Fired Power Plant (1320MW) IPP,1320,"$114,140,000 ",,,,,,,8/26/2019,2019,Southeast Asia,Vietnam,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,12.47704,109.29244,,PH171.02,https://www.gem.wiki/Van_Phong_power_station,https://ijglobal.com/data/transaction/19252/van-phong-1-coal-fired-power-plant-132gw-ipp,https://www.jbic.go.jp/en/information/press/press-2019/0419-012106.html,,,,,2024,,
Japan (private company),Japan (private company),Sumitomo Corporation,Van Phong 1 Coal-Fired Power Plant (1320MW) IPP,1320,"$114,140,000 ",,,,,,,8/26/2019,2019,Southeast Asia,Vietnam,,,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,12.47704,109.29244,,PH171.02,https://www.gem.wiki/Van_Phong_power_station,https://ijglobal.com/data/transaction/19252/van-phong-1-coal-fired-power-plant-132gw-ipp,https://www.jbic.go.jp/en/information/press/press-2019/0419-012106.html,,,,,2024,,
Private or Other,Private or Other,,Quang Tri 1 power plant (1200),1200,,,,"$1,850,000,000 ",,,,1/1/1949,2049,Southeast Asia,Vietnam,Quang Tri province,EGAT; Kyushu Electric Power,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,16.75658,107.36713,exact,PH134.01,https://www.gem.wiki/Quang_Tri_power_station,http://coal.jogmec.go.jp/content/300367032.pdf,,,,L104339,,2024,,
Public,Public,EDF,Son My 1 Gas-Fired Power Plant (2000MW),2000,,,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,,#N/A,,,,,Gas,Gas-Fired,,,,41354,,https://ijglobal.com/data/transaction/41354/son-my-1-gas-fired-power-plant-2000mw,,,,,,,,
Japan (Commercial bank),Japan (Commercial bank),Mitsubishi UFJ Financial Group,Long Phu 1 Coal Plant (1200 MW),1200,"$162,500,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,https://ijglobal.com/data/project/35718/long-phu-1-thermal-power-plant-1200mw,,,,,,2023,,
Multilateral,Multilateral,International Investment Bank,Long Phu 1 Coal Plant (1200 MW),1200,"$100,000,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,PetroVietnam,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,9.70894,106.08183,,PH088.01,https://www.gem.wiki/Long_Phu_Power_Centre,https://ijglobal.com/data/project/35718/long-phu-1-thermal-power-plant-1200mw,,,,,,2023,,
Japan (Commercial bank),Japan (Commercial bank),Mitsubishi UFJ Financial Group,Vung Ang 2 Coal-Fired Power Plant (1200MW),1200,"$283,330,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,VAPCO/Mitsubishi Corporation/KEPCO,#N/A,General Electric / EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,18.09792,106.38123åÊ,,PH176.02,https://www.gem.wiki/Vung_Ang_power_station#V.C5.A9ng_.C3.81ng-2,https://ijglobal.com/data/transaction/20423/vung-ang-2-coal-fired-power-plant-1200mw-ipp,https://www.jbic.go.jp/en/business-areas/environment/projects/page.html?ID=61715&lang=en,"http://www.cec.org.cn/guojidianli/2017-01-26/164335.html
https://mp.weixin.qq.com/s/70uHFVZnn3U7zZXfYYEAUQ",,,"¾¡ü¾÷âŠ¼Î¾ÏÙ, the Vietnamese name is V©ngÌngII",2023,,
Japan (Commercial bank),Japan (Commercial bank),Mizuho Financial Group,Vung Ang 2 Coal-Fired Power Plant (1200MW),1200,"$283,330,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,VAPCO/Mitsubishi Corporation/KEPCO,#N/A,General Electric / EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,18.09792,106.38123åÊ,,PH176.02,https://www.gem.wiki/Vung_Ang_power_station#V.C5.A9ng_.C3.81ng-2,https://ijglobal.com/data/transaction/20423/vung-ang-2-coal-fired-power-plant-1200mw-ipp,https://www.jbic.go.jp/en/business-areas/environment/projects/page.html?ID=61715&lang=en,"http://www.cec.org.cn/guojidianli/2017-01-26/164335.html
https://mp.weixin.qq.com/s/70uHFVZnn3U7zZXfYYEAUQ",,,"¾¡ü¾÷âŠ¼Î¾ÏÙ, the Vietnamese name is V©ngÌngII",2023,,
Japan (Commercial bank),Japan (Commercial bank),Sumitomo Mitsui Banking Corporation,Vung Ang 2 Coal-Fired Power Plant (1200MW),1200,"$283,330,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,VAPCO/Mitsubishi Corporation/KEPCO,#N/A,General Electric / EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,18.09792,106.38123åÊ,,PH176.02,https://www.gem.wiki/Vung_Ang_power_station#V.C5.A9ng_.C3.81ng-2,https://ijglobal.com/data/transaction/20423/vung-ang-2-coal-fired-power-plant-1200mw-ipp,https://www.jbic.go.jp/en/business-areas/environment/projects/page.html?ID=61715&lang=en,"http://www.cec.org.cn/guojidianli/2017-01-26/164335.html
https://mp.weixin.qq.com/s/70uHFVZnn3U7zZXfYYEAUQ",,,"¾¡ü¾÷âŠ¼Î¾ÏÙ, the Vietnamese name is V©ngÌngII",2023,,
Japan (Commercial bank),Japan (Commercial bank),Sumitomo Mitsui Trust Holdings,Vung Ang 2 Coal-Fired Power Plant (1200MW),1200,"$283,330,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Vietnam,,VAPCO/Mitsubishi Corporation/KEPCO,#N/A,General Electric / EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,18.09792,106.38123åÊ,,PH176.02,https://www.gem.wiki/Vung_Ang_power_station#V.C5.A9ng_.C3.81ng-2,https://ijglobal.com/data/transaction/20423/vung-ang-2-coal-fired-power-plant-1200mw-ipp,https://www.jbic.go.jp/en/business-areas/environment/projects/page.html?ID=61715&lang=en,"http://www.cec.org.cn/guojidianli/2017-01-26/164335.html
https://mp.weixin.qq.com/s/70uHFVZnn3U7zZXfYYEAUQ",,,"¾¡ü¾÷âŠ¼Î¾ÏÙ, the Vietnamese name is V©ngÌngII",2023,,
China (Equity+EPC),China,China Gezhouba,Nam Dinh I Coal Plant (1200MW),1200,"$59,675,000 ",,,"$2,070,000,000 ",,,,1/1/1950,2050,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province","Acwa Power, Taekwang Power Holdings, CIC, Gezhouba",,"Gezhouba International Engineering Co., Ltd.(EnergyChina)",,Doosan (Turbine generators),,Coal Power Plant,Coal Power Plant - New,20.1012,106.21355,,PH112.01,http://bit.ly/1toEfNF,https://ijglobal.com/data/transaction/21613/nam-dinh-i-coal-fired-power-plant-12gw-ipp,,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2018-05-23/180808.html,,L104323,,2024,,
